,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
0,6,1,36,0.1,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
1,6,1,46,0.1,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
2,6,1,12,0.3,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
3,6,1,24,0.3,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
4,6,1,36,0.3,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
5,6,1,46,0.3,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
6,6,1,12,0.3,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
7,6,1,24,0.3,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
8,6,1,36,0.3,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
9,6,1,46,0.3,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
10,6,1,24,0.1,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
11,6,1,36,0.1,0.3,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,0.7,0.9
12,6,1,12,0.6,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
13,6,1,24,0.6,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
14,6,1,46,0.6,0.6,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
15,1,9,12,0.1,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
16,1,9,24,0.1,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
17,1,9,36,0.1,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
18,1,9,46,0.1,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
19,1,9,36,0.1,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,0.9,0.9
20,1,9,46,0.1,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
21,3,3,12,0.6,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
22,6,1,12,0.1,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
23,1,9,12,0.3,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
24,1,9,24,0.3,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
25,1,9,36,0.3,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
26,6,1,24,0.1,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
27,1,9,46,0.3,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
28,1,9,36,0.6,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,0.9,0.9
29,1,9,46,0.6,0.5,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
30,1,9,12,0.6,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
31,6,1,36,0.1,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
32,3,3,24,0.6,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
33,1,9,24,0.6,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
34,1,9,36,0.6,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
35,1,9,46,0.6,0.6,0.0,1.4216465262644744,['[[-81 -35]]'],"['[[  93 -186]', ' [ -30  -11]', ' [-156   70]', ' [-129   36]', ' [  37 -139]', ' [ 193 -138]', ' [  17  132]', ' [-119   68]', ' [-168 -178]]']",1.0,1.0,0.9
36,3,3,12,0.1,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
37,3,3,24,0.1,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
38,3,3,36,0.1,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
39,6,1,46,0.1,0.5,1.1166211438486309,0.0,"['[[ -18 -178]', ' [ -44   37]', ' [-142  117]', ' [ -70   13]', ' [-132  184]', ' [-139   72]]']",['[[-150  166]]'],1.0,1.0,0.9
40,3,3,46,0.1,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
41,3,3,12,0.1,0.6,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
42,3,3,36,0.6,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
43,3,3,46,0.6,0.5,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
44,3,3,12,0.6,0.6,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
45,3,3,24,0.6,0.6,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
46,3,3,36,0.6,0.6,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
47,3,3,46,0.6,0.6,1.1203912033019263,1.4120792762958336,"['[[  71   37]', ' [   2 -106]', ' [ -94   81]]']","['[[  32  -96]', ' [ -14   87]', ' [-171  153]]']",1.0,1.0,0.9
